sunHour,DewPointC,cloudcover,humidity,precipMM,pressure,tempC,visibility,windspeedKmph
11.599999999999998,20.285714285714285,2.4285714285714284,72.71428571428571,0.0,1009.5714285714286,29.0,10.0,31.0
11.599999999999998,19.285714285714285,3.857142857142857,67.85714285714286,0.0,1012.1428571428571,29.0,10.0,34.285714285714285
11.599999999999998,21.571428571428573,10.714285714285714,76.85714285714286,0.0,1010.8571428571429,28.857142857142858,10.0,31.428571428571427
11.4,21.0,14.857142857142858,76.42857142857143,0.0,1010.7142857142857,28.142857142857142,10.0,27.857142857142858
11.2,20.857142857142858,14.714285714285714,75.14285714285714,0.0,1011.5714285714286,28.857142857142858,10.0,30.285714285714285
11.2,21.285714285714285,16.0,75.28571428571429,0.0,1011.5714285714286,28.571428571428573,10.0,31.0
10.799999999999999,22.857142857142858,36.57142857142857,79.42857142857143,0.028571428571428574,1012.8571428571429,28.857142857142858,10.0,25.0
11.200000000000001,23.142857142857142,32.57142857142857,79.14285714285714,0.028571428571428574,1008.8571428571429,29.0,10.0,24.0
11.2,23.0,27.285714285714285,77.85714285714286,0.028571428571428574,1008.7142857142857,29.571428571428573,10.0,25.571428571428573
11.599999999999998,22.285714285714285,16.142857142857142,73.0,0.0,1009.7142857142857,30.285714285714285,10.0,30.142857142857142
11.4,23.142857142857142,25.285714285714285,76.14285714285714,0.18571428571428572,1009.5714285714286,29.857142857142858,10.0,24.0
11.599999999999998,23.571428571428573,27.428571428571427,75.57142857142857,0.5142857142857142,1010.8571428571429,30.0,10.0,22.428571428571427
12.142857142857142,23.571428571428573,23.142857142857142,74.14285714285714,0.09999999999999999,1010.7142857142857,30.285714285714285,10.0,21.571428571428573
12.299999999999999,23.428571428571427,26.0,71.42857142857143,0.1285714285714286,1008.5714285714286,30.571428571428573,10.0,18.571428571428573
12.5,23.714285714285715,22.571428571428573,71.14285714285714,5.871428571428573,1009.1428571428571,31.0,9.571428571428571,16.285714285714285
11.742857142857144,23.714285714285715,40.42857142857143,74.28571428571429,7.614285714285714,1010.5714285714286,30.714285714285715,9.428571428571429,17.857142857142858
12.4,23.857142857142858,27.0,75.14285714285714,5.371428571428572,1010.8571428571429,30.285714285714285,9.428571428571429,19.285714285714285
12.299999999999999,24.0,32.57142857142857,77.71428571428571,2.5714285714285716,1011.0,29.857142857142858,9.857142857142858,19.571428571428573
12.5,24.142857142857142,29.714285714285715,78.71428571428571,1.3142857142857143,1010.4285714285714,29.857142857142858,10.0,21.285714285714285
12.299999999999999,24.285714285714285,42.142857142857146,79.85714285714286,1.2142857142857142,1010.1428571428571,29.142857142857142,10.0,25.0
12.5,23.428571428571427,39.0,80.14285714285714,0.31428571428571433,1012.0,28.285714285714285,10.0,24.428571428571427
12.5,23.0,35.857142857142854,78.42857142857143,0.27142857142857146,1013.0,28.428571428571427,10.0,26.571428571428573
12.5,22.285714285714285,39.42857142857143,77.85714285714286,1.0857142857142856,1013.5714285714286,27.714285714285715,10.0,30.0
12.528571428571427,22.142857142857142,32.57142857142857,77.85714285714286,0.1285714285714286,1014.7142857142857,27.571428571428573,10.0,27.142857142857142
12.514285714285714,22.142857142857142,35.714285714285715,78.28571428571429,0.29999999999999993,1014.0,27.714285714285715,10.0,26.571428571428573
12.528571428571428,21.857142857142858,35.285714285714285,77.57142857142857,0.2571428571428571,1012.4285714285714,27.714285714285715,10.0,27.857142857142858
12.5,20.857142857142858,36.714285714285715,75.14285714285714,0.2857142857142857,1014.5714285714286,27.0,10.0,29.571428571428573
12.5,21.142857142857142,36.57142857142857,76.0,0.38571428571428573,1015.1428571428571,27.0,10.0,32.57142857142857
12.5,20.428571428571427,34.714285714285715,75.57142857142857,0.2714285714285714,1015.7142857142857,26.285714285714285,10.0,31.571428571428573
12.5,21.285714285714285,33.285714285714285,78.0,0.21428571428571433,1015.2857142857143,26.571428571428573,10.0,28.142857142857142
12.5,21.714285714285715,31.714285714285715,79.28571428571429,0.17142857142857143,1014.1428571428571,27.142857142857142,10.0,24.571428571428573
12.214285714285714,21.714285714285715,37.57142857142857,78.57142857142857,0.9000000000000001,1015.4285714285714,26.857142857142858,10.0,27.0
12.5,21.0,36.857142857142854,77.57142857142857,0.39999999999999997,1015.2857142857143,27.0,10.0,29.285714285714285
12.5,21.285714285714285,34.42857142857143,77.42857142857143,0.18571428571428572,1013.7142857142857,27.0,10.0,27.571428571428573
12.5,20.714285714285715,40.42857142857143,75.42857142857143,0.07142857142857142,1013.1428571428571,26.857142857142858,10.0,27.857142857142858
12.5,22.142857142857142,33.57142857142857,79.14285714285714,0.028571428571428574,1013.4285714285714,27.571428571428573,10.0,22.857142857142858
11.328571428571431,22.142857142857142,30.857142857142858,78.0,0.1142857142857143,1013.0,28.0,10.0,24.142857142857142
11.4,21.571428571428573,24.428571428571427,75.71428571428571,0.028571428571428574,1012.5714285714286,28.0,10.0,24.857142857142858
10.4,23.0,41.57142857142857,79.42857142857143,0.44285714285714295,1012.4285714285714,28.285714285714285,10.0,24.285714285714285
10.4,22.0,36.42857142857143,76.14285714285714,0.05714285714285715,1012.8571428571429,28.0,10.0,25.857142857142858
10.2,22.571428571428573,35.714285714285715,78.14285714285714,0.08571428571428572,1011.4285714285714,28.142857142857142,10.0,25.571428571428573
11.200000000000001,22.571428571428573,25.857142857142858,76.71428571428571,0.0,1012.1428571428571,29.0,10.0,17.714285714285715
11.2,22.857142857142858,32.285714285714285,77.57142857142857,3.6142857142857143,1013.4285714285714,28.857142857142858,9.714285714285714,19.571428571428573
